Year,Month,Day,Hour,Minute,Second,batt_mV,Channel,Gape,Line_ID,Sensor_ID,Rep,Mussel_ID,Time_Machine,Beaker_ID,Group,File_name,P_Status,Status,Length(mm),Intensity,Note
2025,7,1,14,57,30,5503,Ch1,1497,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,57,30,5503,Ch3,1423,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,57,30,5503,Ch4,2239,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,57,30,5503,Ch7,2692,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,57,40,5503,Ch1,1486,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,57,40,5503,Ch3,1423,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,57,40,5503,Ch4,2246,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,57,40,5503,Ch7,2692,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,57,50,5503,Ch1,1444,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,57,50,5503,Ch3,1423,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,57,50,5503,Ch4,2244,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,57,50,5503,Ch7,2692,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,58,0,5503,Ch1,1450,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,58,0,5503,Ch3,1423,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,58,0,5503,Ch4,2267,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,58,0,5503,Ch7,2692,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,58,10,5503,Ch1,1482,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,58,10,5503,Ch3,1437,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,58,10,5503,Ch4,2268,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,58,10,5503,Ch7,2692,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,58,20,5503,Ch1,1482,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,58,20,5503,Ch3,1448,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,58,20,5503,Ch4,2265,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,58,20,5503,Ch7,2690,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,58,30,5503,Ch1,1497,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,58,30,5503,Ch3,1447,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,58,30,5503,Ch4,2258,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,58,30,5503,Ch7,2692,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,58,40,5503,Ch1,1497,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,58,40,5503,Ch3,1448,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,58,40,5503,Ch4,2071,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,58,40,5503,Ch7,2690,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,58,50,5503,Ch1,1496,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,58,50,5503,Ch3,1447,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,58,50,5503,Ch4,1926,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,58,50,5503,Ch7,2690,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,59,0,5503,Ch1,1494,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,59,0,5503,Ch3,1447,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,59,0,5503,Ch4,1904,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,59,0,5503,Ch7,2690,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,59,10,5503,Ch1,1474,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,59,10,5503,Ch3,1446,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,59,10,5503,Ch4,1872,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,59,10,5503,Ch7,2690,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,59,20,5503,Ch1,1460,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,59,20,5503,Ch3,1445,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,59,20,5503,Ch4,1835,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,59,20,5503,Ch7,2688,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,59,30,5503,Ch1,1710,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,59,30,5503,Ch3,1447,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,59,30,5503,Ch4,2054,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,59,30,5503,Ch7,2688,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,59,40,5503,Ch1,1750,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,59,40,5503,Ch3,1446,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,59,40,5503,Ch4,1936,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,59,40,5503,Ch7,2688,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,14,59,50,5503,Ch1,1756,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,14,59,50,5503,Ch3,1446,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,14,59,50,5503,Ch4,1931,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,14,59,50,5503,Ch7,2688,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,0,0,5503,Ch1,1752,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,0,0,5503,Ch3,1447,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,0,0,5503,Ch4,1918,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,15,0,0,5503,Ch7,2688,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,0,10,5503,Ch1,1749,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,0,10,5503,Ch3,1447,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,0,10,5503,Ch4,1893,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,15,0,10,5503,Ch7,2687,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,0,20,5503,Ch1,1747,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,0,20,5503,Ch3,1445,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,0,20,5503,Ch4,1851,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,15,0,20,5503,Ch7,2686,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,0,30,5503,Ch1,1742,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,0,30,5503,Ch3,1445,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,0,30,5503,Ch4,1827,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,15,0,30,5503,Ch7,2686,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,0,40,5503,Ch1,1739,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,0,40,5503,Ch3,1445,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,0,40,5503,Ch4,1874,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,15,0,40,5503,Ch7,2686,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,0,50,5503,Ch1,1735,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,0,50,5503,Ch3,1446,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,0,50,5503,Ch4,1859,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,15,0,50,5503,Ch7,2686,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,1,0,5503,Ch1,1730,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,1,0,5503,Ch3,1458,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,1,0,5503,Ch4,1841,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,15,1,0,5503,Ch7,2684,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,1,10,5503,Ch1,1724,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,1,10,5503,Ch3,1461,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,1,10,5503,Ch4,1807,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,15,1,10,5503,Ch7,2683,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,1,20,5503,Ch1,1713,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,1,20,5503,Ch3,1459,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,1,20,5503,Ch4,1768,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,15,1,20,5503,Ch7,2678,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,1,30,5503,Ch1,1630,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,1,30,5503,Ch3,1461,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,1,30,5503,Ch4,1709,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,15,1,30,5503,Ch7,2666,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,1,40,5503,Ch1,1554,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,1,40,5503,Ch3,1460,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,1,40,5503,Ch4,1636,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,15,1,40,5503,Ch7,2661,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,1,50,5503,Ch1,1506,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,1,50,5503,Ch3,1459,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,1,50,5503,Ch4,1620,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,15,1,50,5503,Ch7,2667,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,2,0,5503,Ch1,1528,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,2,0,5503,Ch3,1460,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,2,0,5503,Ch4,1616,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,15,2,0,5503,Ch7,2666,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,2,10,5503,Ch1,1578,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,2,10,5503,Ch3,1459,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,2,10,5503,Ch4,1844,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,15,2,10,5503,Ch7,2642,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,2,20,5503,Ch1,1579,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,2,20,5503,Ch3,1460,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,2,20,5503,Ch4,1802,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,15,2,20,5503,Ch7,2638,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,2,30,5503,Ch1,1579,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,2,30,5503,Ch3,1458,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,2,30,5503,Ch4,1795,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,15,2,30,5503,Ch7,2672,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,2,40,5503,Ch1,1580,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,2,40,5503,Ch3,1459,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,2,40,5503,Ch4,1787,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,15,2,40,5503,Ch7,2680,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,2,50,5503,Ch1,1581,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,2,50,5503,Ch3,1458,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,2,50,5503,Ch4,1789,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
2025,7,1,15,2,50,5503,Ch7,2672,7,A,1,B39,14:55-15:25,8,Control,00000007.DAT,uninfected,uninfected,"31,9",0,NA
2025,7,1,15,3,0,5503,Ch1,1580,1,A,1,G83,14:55-15:25,5,HT,00000007.DAT,infected,infected,34,6,NA
2025,7,1,15,3,0,5503,Ch3,1460,3,A,1,B86,14:55-15:25,6,HT,00000007.DAT,uninfected,uninfected,"30,1",0,NA
2025,7,1,15,3,0,5503,Ch4,1790,4,A,1,G59,14:55-15:25,7,Control,00000007.DAT,infected,infected,33,26,NA
